조업일,KPI_ID,관리항목,실적값,원판정,연속판정,연속기준
2024-02-03,KPI_U04_QTY_G01,정제량,1042914.1376,정상,정상,2일 연속
2024-02-04,KPI_U04_QTY_G01,정제량,1057343.5377,정상,정상,2일 연속
2024-02-05,KPI_U04_QTY_G01,정제량,1093061.0814,이상,정상,2일 연속
2024-02-06,KPI_U04_QTY_G01,정제량,1073278.3167,정상,정상,2일 연속
2024-02-07,KPI_U04_QTY_G01,정제량,1038694.7608,정상,정상,2일 연속
2024-02-08,KPI_U04_QTY_G01,정제량,1054602.9106,정상,정상,2일 연속
2024-02-09,KPI_U04_QTY_G01,정제량,1046126.3069,정상,정상,2일 연속
2024-02-10,KPI_U04_QTY_G01,정제량,1048476.9305,정상,정상,2일 연속
2024-02-11,KPI_U04_QTY_G01,정제량,1059846.5673,정상,정상,2일 연속
2024-02-12,KPI_U04_QTY_G01,정제량,1049063.5947,정상,정상,2일 연속
2024-02-13,KPI_U04_QTY_G01,정제량,1075012.033,정상,정상,2일 연속
2024-02-14,KPI_U04_QTY_G01,정제량,1054142.4788,정상,정상,2일 연속
2024-02-15,KPI_U04_QTY_G01,정제량,1058674.6022,정상,정상,2일 연속
2024-02-16,KPI_U04_QTY_G01,정제량,1048867.0111,정상,정상,2일 연속
2024-02-17,KPI_U04_QTY_G01,정제량,1054094.21,정상,정상,2일 연속
2024-02-18,KPI_U04_QTY_G01,정제량,1074826.1742,정상,정상,2일 연속
2024-02-19,KPI_U04_QTY_G01,정제량,1061697.2718,정상,정상,2일 연속
2024-02-20,KPI_U04_QTY_G01,정제량,1048536.8407,정상,정상,2일 연속
2024-02-21,KPI_U04_QTY_G01,정제량,1031526.9778,정상,정상,2일 연속
2024-02-22,KPI_U04_QTY_G01,정제량,1036644.5488,정상,정상,2일 연속
2024-02-23,KPI_U04_QTY_G01,정제량,1034852.7584,정상,정상,2일 연속
2024-02-24,KPI_U04_QTY_G01,정제량,1022496.3412,주의,정상,2일 연속
2024-02-25,KPI_U04_QTY_G01,정제량,1035031.786,정상,정상,2일 연속
2024-02-26,KPI_U04_QTY_G01,정제량,1044599.1718,정상,정상,2일 연속
2024-02-27,KPI_U04_QTY_G01,정제량,1069174.9164,정상,정상,2일 연속
2024-02-28,KPI_U04_QTY_G01,정제량,1070166.5764,정상,정상,2일 연속
2024-02-29,KPI_U04_QTY_G01,정제량,1063959.4953,정상,정상,2일 연속
2024-03-01,KPI_U04_QTY_G01,정제량,1040366.3085,정상,정상,2일 연속
2024-03-02,KPI_U04_QTY_G01,정제량,1058066.2214,정상,정상,2일 연속
2024-03-03,KPI_U04_QTY_G01,정제량,1064005.8524,정상,정상,2일 연속
2024-03-04,KPI_U04_QTY_G01,정제량,1072215.8058,정상,정상,2일 연속
2024-03-05,KPI_U04_QTY_G01,정제량,1074922.7291,정상,정상,2일 연속
2024-03-06,KPI_U04_QTY_G01,정제량,1058994.6027,정상,정상,2일 연속
2024-03-07,KPI_U04_QTY_G01,정제량,1048766.1262,정상,정상,2일 연속
2024-03-08,KPI_U04_QTY_G01,정제량,1061204.2346,정상,정상,2일 연속
2024-03-09,KPI_U04_QTY_G01,정제량,1070929.3613,정상,정상,2일 연속
2024-03-10,KPI_U04_QTY_G01,정제량,1065397.3373,정상,정상,2일 연속
2024-03-11,KPI_U04_QTY_G01,정제량,1051688.7377,정상,정상,2일 연속
2024-03-12,KPI_U04_QTY_G01,정제량,1059779.6496,정상,정상,2일 연속
2024-03-13,KPI_U04_QTY_G01,정제량,1058840.844,정상,정상,2일 연속
2024-03-14,KPI_U04_QTY_G01,정제량,1041294.6445,정상,정상,2일 연속
2024-03-15,KPI_U04_QTY_G01,정제량,1038989.5813,정상,정상,2일 연속
2024-03-16,KPI_U04_QTY_G01,정제량,1061668.2422,정상,정상,2일 연속
2024-03-17,KPI_U04_QTY_G01,정제량,1071193.536,정상,정상,2일 연속
2024-03-18,KPI_U04_QTY_G01,정제량,1069211.22,정상,정상,2일 연속
2024-03-19,KPI_U04_QTY_G01,정제량,1063514.5471,정상,정상,2일 연속
2024-03-20,KPI_U04_QTY_G01,정제량,1044054.1335,정상,정상,2일 연속
2024-03-21,KPI_U04_QTY_G01,정제량,1055595.6171,정상,정상,2일 연속
2024-03-22,KPI_U04_QTY_G01,정제량,1042928.1236,정상,정상,2일 연속
2024-03-23,KPI_U04_QTY_G01,정제량,1060699.2937,정상,정상,2일 연속
2024-03-24,KPI_U04_QTY_G01,정제량,1062196.5735,정상,정상,2일 연속
2024-03-25,KPI_U04_QTY_G01,정제량,1060869.3294,정상,정상,2일 연속
2024-03-26,KPI_U04_QTY_G01,정제량,1048711.5742,정상,정상,2일 연속
2024-03-27,KPI_U04_QTY_G01,정제량,1041447.5794,정상,정상,2일 연속
2024-03-28,KPI_U04_QTY_G01,정제량,1058261.5813,정상,정상,2일 연속
2024-03-29,KPI_U04_QTY_G01,정제량,1052391.326,정상,정상,2일 연속
2024-03-30,KPI_U04_QTY_G01,정제량,1045363.947,정상,정상,2일 연속
2024-03-31,KPI_U04_QTY_G01,정제량,1038005.9122,정상,정상,2일 연속
2024-04-01,KPI_U04_QTY_G01,정제량,1049922.8655,정상,정상,2일 연속
2024-04-02,KPI_U04_QTY_G01,정제량,1080129.1512,정상,정상,2일 연속
2024-04-03,KPI_U04_QTY_G01,정제량,1100483.7966,이상,정상,2일 연속
2024-04-04,KPI_U04_QTY_G01,정제량,1075036.4915,정상,정상,2일 연속
2024-04-05,KPI_U04_QTY_G01,정제량,1067497.8662,정상,정상,2일 연속
2024-04-06,KPI_U04_QTY_G01,정제량,1041354.4446,정상,정상,2일 연속
2024-04-07,KPI_U04_QTY_G01,정제량,1073092.7331,정상,정상,2일 연속
2024-04-08,KPI_U04_QTY_G01,정제량,1067550.1194,정상,정상,2일 연속
2024-04-09,KPI_U04_QTY_G01,정제량,1039860.419,정상,정상,2일 연속
2024-04-10,KPI_U04_QTY_G01,정제량,1038101.0519,정상,정상,2일 연속
2024-04-11,KPI_U04_QTY_G01,정제량,1053872.5731,정상,정상,2일 연속
2024-04-12,KPI_U04_QTY_G01,정제량,1038100.1164,정상,정상,2일 연속
2024-04-13,KPI_U04_QTY_G01,정제량,1039413.0761,정상,정상,2일 연속
2024-04-14,KPI_U04_QTY_G01,정제량,1045271.4981,정상,정상,2일 연속
2024-04-15,KPI_U04_QTY_G01,정제량,1034344.207,정상,정상,2일 연속
2024-04-16,KPI_U04_QTY_G01,정제량,1046398.0581,정상,정상,2일 연속
2024-04-17,KPI_U04_QTY_G01,정제량,1039131.086,정상,정상,2일 연속
2024-04-18,KPI_U04_QTY_G01,정제량,1031657.5955,정상,정상,2일 연속
2024-04-19,KPI_U04_QTY_G01,정제량,1047335.7264,정상,정상,2일 연속
2024-04-20,KPI_U04_QTY_G01,정제량,1028905.6706,정상,정상,2일 연속
2024-04-21,KPI_U04_QTY_G01,정제량,1058547.4487,정상,정상,2일 연속
2024-04-22,KPI_U04_QTY_G01,정제량,1058358.8045,정상,정상,2일 연속
2024-04-23,KPI_U04_QTY_G01,정제량,1049812.3812,정상,정상,2일 연속
2024-04-24,KPI_U04_QTY_G01,정제량,1043587.128,정상,정상,2일 연속
2024-04-25,KPI_U04_QTY_G01,정제량,1072095.3334,정상,정상,2일 연속
2024-04-26,KPI_U04_QTY_G01,정제량,1062774.6728,정상,정상,2일 연속
2024-04-27,KPI_U04_QTY_G01,정제량,1057185.5609,정상,정상,2일 연속
2024-04-28,KPI_U04_QTY_G01,정제량,1059641.6052,정상,정상,2일 연속
2024-04-29,KPI_U04_QTY_G01,정제량,1036839.6405,정상,정상,2일 연속
2024-04-30,KPI_U04_QTY_G01,정제량,1073833.9441,정상,정상,2일 연속
2024-05-01,KPI_U04_QTY_G01,정제량,1044863.025,정상,정상,2일 연속
2024-05-02,KPI_U04_QTY_G01,정제량,1068963.8654,정상,정상,2일 연속
2024-05-03,KPI_U04_QTY_G01,정제량,1049904.2159,정상,정상,2일 연속
2024-05-04,KPI_U04_QTY_G01,정제량,1063947.0198,정상,정상,2일 연속
2024-05-05,KPI_U04_QTY_G01,정제량,1041068.5187,정상,정상,2일 연속
2024-05-06,KPI_U04_QTY_G01,정제량,1038894.4781,정상,정상,2일 연속
2024-05-07,KPI_U04_QTY_G01,정제량,1030016.9783,정상,정상,2일 연속
2024-05-08,KPI_U04_QTY_G01,정제량,1040973.5539,정상,정상,2일 연속
2024-05-09,KPI_U04_QTY_G01,정제량,1041543.0988,정상,정상,2일 연속
2024-05-10,KPI_U04_QTY_G01,정제량,1054251.5136,정상,정상,2일 연속
2024-05-11,KPI_U04_QTY_G01,정제량,1027854.1841,정상,정상,2일 연속
2024-05-12,KPI_U04_QTY_G01,정제량,1058136.2402,정상,정상,2일 연속
2024-05-13,KPI_U04_QTY_G01,정제량,1083900.2172,주의,정상,2일 연속
2024-05-14,KPI_U04_QTY_G01,정제량,1067019.605,정상,정상,2일 연속
2024-05-15,KPI_U04_QTY_G01,정제량,1038143.2257,정상,정상,2일 연속
2024-05-16,KPI_U04_QTY_G01,정제량,1055267.1516,정상,정상,2일 연속
2024-05-17,KPI_U04_QTY_G01,정제량,1057075.6736,정상,정상,2일 연속
2024-05-18,KPI_U04_QTY_G01,정제량,1065359.6501,정상,정상,2일 연속
2024-05-19,KPI_U04_QTY_G01,정제량,1073513.8973,정상,정상,2일 연속
2024-05-20,KPI_U04_QTY_G01,정제량,1071758.6615,정상,정상,2일 연속
2024-05-21,KPI_U04_QTY_G01,정제량,1055868.7855,정상,정상,2일 연속
2024-05-22,KPI_U04_QTY_G01,정제량,1063369.654,정상,정상,2일 연속
2024-05-23,KPI_U04_QTY_G01,정제량,1057606.3399,정상,정상,2일 연속
2024-05-24,KPI_U04_QTY_G01,정제량,1057430.4645,정상,정상,2일 연속
2024-05-25,KPI_U04_QTY_G01,정제량,1046134.9736,정상,정상,2일 연속
2024-05-26,KPI_U04_QTY_G01,정제량,1054700.5683,정상,정상,2일 연속
2024-05-27,KPI_U04_QTY_G01,정제량,1050882.5136,정상,정상,2일 연속
2024-05-28,KPI_U04_QTY_G01,정제량,1054951.0677,정상,정상,2일 연속
2024-05-29,KPI_U04_QTY_G01,정제량,1067148.4262,정상,정상,2일 연속
2024-05-30,KPI_U04_QTY_G01,정제량,1054137.8055,정상,정상,2일 연속
2024-05-31,KPI_U04_QTY_G01,정제량,1041324.054,정상,정상,2일 연속
2024-06-01,KPI_U04_QTY_G01,정제량,1042855.5069,정상,정상,2일 연속
2024-06-02,KPI_U04_QTY_G01,정제량,1044198.6649,정상,정상,2일 연속
2024-06-03,KPI_U04_QTY_G01,정제량,1070930.8189,정상,정상,2일 연속
2024-06-04,KPI_U04_QTY_G01,정제량,1042337.0552,정상,정상,2일 연속
2024-06-05,KPI_U04_QTY_G01,정제량,1024389.1422,정상,정상,2일 연속
2024-06-06,KPI_U04_QTY_G01,정제량,1024755.9815,정상,정상,2일 연속
2024-06-07,KPI_U04_QTY_G01,정제량,1045450.1839,정상,정상,2일 연속
2024-06-08,KPI_U04_QTY_G01,정제량,1046653.0577,정상,정상,2일 연속
2024-06-09,KPI_U04_QTY_G01,정제량,1030567.8343,정상,정상,2일 연속
2024-06-10,KPI_U04_QTY_G01,정제량,1018225.1344,주의,정상,2일 연속
2024-06-11,KPI_U04_QTY_G01,정제량,1061666.3489,정상,정상,2일 연속
2024-06-12,KPI_U04_QTY_G01,정제량,1066034.8771,정상,정상,2일 연속
2024-06-13,KPI_U04_QTY_G01,정제량,1076113.2355,정상,정상,2일 연속
2024-06-14,KPI_U04_QTY_G01,정제량,1054147.4998,정상,정상,2일 연속
2024-06-15,KPI_U04_QTY_G01,정제량,1050663.0824,정상,정상,2일 연속
2024-06-16,KPI_U04_QTY_G01,정제량,1060256.704,정상,정상,2일 연속
2024-06-17,KPI_U04_QTY_G01,정제량,1069553.2394,정상,정상,2일 연속
2024-06-18,KPI_U04_QTY_G01,정제량,1035310.4069,정상,정상,2일 연속
2024-06-19,KPI_U04_QTY_G01,정제량,1085078.3844,주의,정상,2일 연속
2024-06-20,KPI_U04_QTY_G01,정제량,1064382.7314,정상,정상,2일 연속
2024-06-21,KPI_U04_QTY_G01,정제량,1058433.4792,정상,정상,2일 연속
2024-06-22,KPI_U04_QTY_G01,정제량,1050657.0698,정상,정상,2일 연속
2024-06-23,KPI_U04_QTY_G01,정제량,1078093.2762,정상,정상,2일 연속
2024-06-24,KPI_U04_QTY_G01,정제량,1051179.6077,정상,정상,2일 연속
2024-06-25,KPI_U04_QTY_G01,정제량,1079925.2268,정상,정상,2일 연속
2024-06-26,KPI_U04_QTY_G01,정제량,1041478.5138,정상,정상,2일 연속
2024-06-27,KPI_U04_QTY_G01,정제량,1051380.6708,정상,정상,2일 연속
2024-06-28,KPI_U04_QTY_G01,정제량,1058663.3905,정상,정상,2일 연속
2024-06-29,KPI_U04_QTY_G01,정제량,1050988.7646,정상,정상,2일 연속
2024-06-30,KPI_U04_QTY_G01,정제량,1045655.7467,정상,정상,2일 연속
2024-07-01,KPI_U04_QTY_G01,정제량,1050992.57,정상,정상,2일 연속
2024-07-02,KPI_U04_QTY_G01,정제량,1011691.6003,이상,정상,2일 연속
2024-07-03,KPI_U04_QTY_G01,정제량,1023031.035,주의,정상,2일 연속
2024-07-04,KPI_U04_QTY_G01,정제량,1052938.8306,정상,정상,2일 연속
2024-07-05,KPI_U04_QTY_G01,정제량,1050010.9784,정상,정상,2일 연속
2024-07-06,KPI_U04_QTY_G01,정제량,1072479.1722,정상,정상,2일 연속
2024-07-07,KPI_U04_QTY_G01,정제량,1081147.9486,주의,정상,2일 연속
2024-07-08,KPI_U04_QTY_G01,정제량,1073969.5834,정상,정상,2일 연속
2024-07-09,KPI_U04_QTY_G01,정제량,1058878.6224,정상,정상,2일 연속
2024-07-10,KPI_U04_QTY_G01,정제량,1073292.5493,정상,정상,2일 연속
2024-07-11,KPI_U04_QTY_G01,정제량,1058371.3223,정상,정상,2일 연속
2024-07-12,KPI_U04_QTY_G01,정제량,1066122.4546,정상,정상,2일 연속
2024-07-13,KPI_U04_QTY_G01,정제량,1048301.4633,정상,정상,2일 연속
2024-07-14,KPI_U04_QTY_G01,정제량,1063286.9441,정상,정상,2일 연속
2024-07-15,KPI_U04_QTY_G01,정제량,1057235.292,정상,정상,2일 연속
2024-07-16,KPI_U04_QTY_G01,정제량,1066418.0728,정상,정상,2일 연속
2024-07-17,KPI_U04_QTY_G01,정제량,1054808.8185,정상,정상,2일 연속
2024-07-18,KPI_U04_QTY_G01,정제량,1031548.5094,정상,정상,2일 연속
2024-07-19,KPI_U04_QTY_G01,정제량,1050289.5182,정상,정상,2일 연속
2024-07-20,KPI_U04_QTY_G01,정제량,1027015.3145,정상,정상,2일 연속
2024-07-21,KPI_U04_QTY_G01,정제량,1055720.2327,정상,정상,2일 연속
2024-07-22,KPI_U04_QTY_G01,정제량,1052217.3067,정상,정상,2일 연속
2024-07-23,KPI_U04_QTY_G01,정제량,1057567.4927,정상,정상,2일 연속
2024-07-24,KPI_U04_QTY_G01,정제량,1055042.2749,정상,정상,2일 연속
2024-07-25,KPI_U04_QTY_G01,정제량,1064785.253,정상,정상,2일 연속
2024-07-26,KPI_U04_QTY_G01,정제량,1056455.5445,정상,정상,2일 연속
2024-07-27,KPI_U04_QTY_G01,정제량,1062228.2469,정상,정상,2일 연속
2024-07-28,KPI_U04_QTY_G01,정제량,1064673.6584,정상,정상,2일 연속
2024-07-29,KPI_U04_QTY_G01,정제량,1039007.9622,정상,정상,2일 연속
2024-07-30,KPI_U04_QTY_G01,정제량,1058654.7387,정상,정상,2일 연속
2024-07-31,KPI_U04_QTY_G01,정제량,1053897.2755,정상,정상,2일 연속
2024-08-01,KPI_U04_QTY_G01,정제량,1053381.5645,정상,정상,2일 연속
2024-08-02,KPI_U04_QTY_G01,정제량,1054419.9433,정상,정상,2일 연속
2024-08-03,KPI_U04_QTY_G01,정제량,1032466.253,정상,정상,2일 연속
2024-08-04,KPI_U04_QTY_G01,정제량,1035494.9902,정상,정상,2일 연속
2024-08-05,KPI_U04_QTY_G01,정제량,1069082.431,정상,정상,2일 연속
2024-08-06,KPI_U04_QTY_G01,정제량,1054633.2977,정상,정상,2일 연속
2024-08-07,KPI_U04_QTY_G01,정제량,1042476.265,정상,정상,2일 연속
2024-08-08,KPI_U04_QTY_G01,정제량,1058412.0757,정상,정상,2일 연속
2024-08-09,KPI_U04_QTY_G01,정제량,1067231.3121,정상,정상,2일 연속
2024-08-10,KPI_U04_QTY_G01,정제량,1049607.9599,정상,정상,2일 연속
2024-08-11,KPI_U04_QTY_G01,정제량,1038479.4344,정상,정상,2일 연속
2024-08-12,KPI_U04_QTY_G01,정제량,1025147.862,정상,정상,2일 연속
2024-08-13,KPI_U04_QTY_G01,정제량,1069083.8571,정상,정상,2일 연속
2024-08-14,KPI_U04_QTY_G01,정제량,1053552.0881,정상,정상,2일 연속
2024-08-15,KPI_U04_QTY_G01,정제량,1072723.0391,정상,정상,2일 연속
2024-08-16,KPI_U04_QTY_G01,정제량,1075238.4713,정상,정상,2일 연속
2024-08-17,KPI_U04_QTY_G01,정제량,1083276.0851,주의,정상,2일 연속
2024-08-18,KPI_U04_QTY_G01,정제량,1057614.8081,정상,정상,2일 연속
2024-08-19,KPI_U04_QTY_G01,정제량,1060275.498,정상,정상,2일 연속
2024-08-20,KPI_U04_QTY_G01,정제량,1061969.6867,정상,정상,2일 연속
2024-08-21,KPI_U04_QTY_G01,정제량,1055093.6073,정상,정상,2일 연속
2024-08-22,KPI_U04_QTY_G01,정제량,1060685.5233,정상,정상,2일 연속
2024-08-23,KPI_U04_QTY_G01,정제량,1049269.8106,정상,정상,2일 연속
2024-08-24,KPI_U04_QTY_G01,정제량,1065512.178,정상,정상,2일 연속
2024-08-25,KPI_U04_QTY_G01,정제량,1039306.8537,정상,정상,2일 연속
2024-08-26,KPI_U04_QTY_G01,정제량,1036260.0857,정상,정상,2일 연속
2024-08-27,KPI_U04_QTY_G01,정제량,1042349.0681,정상,정상,2일 연속
2024-08-28,KPI_U04_QTY_G01,정제량,1033409.729,정상,정상,2일 연속
2024-08-29,KPI_U04_QTY_G01,정제량,1055683.4485,정상,정상,2일 연속
2024-08-30,KPI_U04_QTY_G01,정제량,1051747.6392,정상,정상,2일 연속
2024-08-31,KPI_U04_QTY_G01,정제량,1062597.7735,정상,정상,2일 연속
2024-09-01,KPI_U04_QTY_G01,정제량,1055093.3251,정상,정상,2일 연속
2024-09-02,KPI_U04_QTY_G01,정제량,1083513.6796,주의,정상,2일 연속
2024-09-03,KPI_U04_QTY_G01,정제량,1086961.2639,주의,주의,2일 연속
2024-09-04,KPI_U04_QTY_G01,정제량,1056211.2163,정상,정상,2일 연속
2024-09-05,KPI_U04_QTY_G01,정제량,1056640.6758,정상,정상,2일 연속
2024-09-06,KPI_U04_QTY_G01,정제량,1027056.1378,정상,정상,2일 연속
2024-09-07,KPI_U04_QTY_G01,정제량,1044794.0733,정상,정상,2일 연속
2024-09-08,KPI_U04_QTY_G01,정제량,1061516.6365,정상,정상,2일 연속
2024-09-09,KPI_U04_QTY_G01,정제량,1066413.3743,정상,정상,2일 연속
2024-09-10,KPI_U04_QTY_G01,정제량,1087384.4075,주의,정상,2일 연속
2024-09-11,KPI_U04_QTY_G01,정제량,1044343.4335,정상,정상,2일 연속
2024-09-12,KPI_U04_QTY_G01,정제량,1063861.6801,정상,정상,2일 연속
2024-09-13,KPI_U04_QTY_G01,정제량,1064228.7341,정상,정상,2일 연속
2024-09-14,KPI_U04_QTY_G01,정제량,1064888.1671,정상,정상,2일 연속
2024-09-15,KPI_U04_QTY_G01,정제량,1068074.5994,정상,정상,2일 연속
2024-09-16,KPI_U04_QTY_G01,정제량,1066474.6527,정상,정상,2일 연속
2024-09-17,KPI_U04_QTY_G01,정제량,1038960.8109,정상,정상,2일 연속
2024-09-18,KPI_U04_QTY_G01,정제량,1044162.7057,정상,정상,2일 연속
2024-09-19,KPI_U04_QTY_G01,정제량,1064758.5832,정상,정상,2일 연속
2024-09-20,KPI_U04_QTY_G01,정제량,1052090.2404,정상,정상,2일 연속
2024-09-21,KPI_U04_QTY_G01,정제량,1028790.3508,정상,정상,2일 연속
2024-09-22,KPI_U04_QTY_G01,정제량,1057757.9859,정상,정상,2일 연속
2024-09-23,KPI_U04_QTY_G01,정제량,1025523.0031,정상,정상,2일 연속
2024-09-24,KPI_U04_QTY_G01,정제량,1039372.5106,정상,정상,2일 연속
2024-09-25,KPI_U04_QTY_G01,정제량,1059331.179,정상,정상,2일 연속
2024-09-26,KPI_U04_QTY_G01,정제량,1061041.8075,정상,정상,2일 연속
2024-09-27,KPI_U04_QTY_G01,정제량,1028853.3833,정상,정상,2일 연속
2024-09-28,KPI_U04_QTY_G01,정제량,1046180.7265,정상,정상,2일 연속
2024-09-29,KPI_U04_QTY_G01,정제량,1074872.2837,정상,정상,2일 연속
2024-09-30,KPI_U04_QTY_G01,정제량,1032633.4558,정상,정상,2일 연속
2024-10-01,KPI_U04_QTY_G01,정제량,1064717.9599,정상,정상,2일 연속
2024-10-02,KPI_U04_QTY_G01,정제량,1036683.4329,정상,정상,2일 연속
2024-10-03,KPI_U04_QTY_G01,정제량,1036015.1478,정상,정상,2일 연속
2024-10-04,KPI_U04_QTY_G01,정제량,1039449.6354,정상,정상,2일 연속
2024-10-05,KPI_U04_QTY_G01,정제량,1046800.1248,정상,정상,2일 연속
2024-10-06,KPI_U04_QTY_G01,정제량,1036542.1343,정상,정상,2일 연속
2024-10-07,KPI_U04_QTY_G01,정제량,1028036.2045,정상,정상,2일 연속
2024-10-08,KPI_U04_QTY_G01,정제량,1021508.3209,주의,정상,2일 연속
2024-10-09,KPI_U04_QTY_G01,정제량,1044432.8759,정상,정상,2일 연속
2024-10-10,KPI_U04_QTY_G01,정제량,1066767.9667,정상,정상,2일 연속
2024-10-11,KPI_U04_QTY_G01,정제량,1074681.286,정상,정상,2일 연속
2024-10-12,KPI_U04_QTY_G01,정제량,1067006.4556,정상,정상,2일 연속
2024-10-13,KPI_U04_QTY_G01,정제량,1055307.3239,정상,정상,2일 연속
2024-10-14,KPI_U04_QTY_G01,정제량,1018427.9559,주의,정상,2일 연속
2024-10-15,KPI_U04_QTY_G01,정제량,1042561.0838,정상,정상,2일 연속
2024-10-16,KPI_U04_QTY_G01,정제량,1043556.0466,정상,정상,2일 연속
2024-10-17,KPI_U04_QTY_G01,정제량,1036265.6397,정상,정상,2일 연속
2024-10-18,KPI_U04_QTY_G01,정제량,1050412.961,정상,정상,2일 연속
2024-10-19,KPI_U04_QTY_G01,정제량,1040252.0056,정상,정상,2일 연속
2024-10-20,KPI_U04_QTY_G01,정제량,1042779.5276,정상,정상,2일 연속
2024-10-21,KPI_U04_QTY_G01,정제량,1055619.0038,정상,정상,2일 연속
2024-10-22,KPI_U04_QTY_G01,정제량,1073197.1416,정상,정상,2일 연속
2024-10-23,KPI_U04_QTY_G01,정제량,1063394.6356,정상,정상,2일 연속
2024-10-24,KPI_U04_QTY_G01,정제량,1065847.9467,정상,정상,2일 연속
2024-10-25,KPI_U04_QTY_G01,정제량,1057427.3933,정상,정상,2일 연속
2024-10-26,KPI_U04_QTY_G01,정제량,1060912.0645,정상,정상,2일 연속
2024-10-27,KPI_U04_QTY_G01,정제량,1064158.7928,정상,정상,2일 연속
2024-10-28,KPI_U04_QTY_G01,정제량,1069451.9202,정상,정상,2일 연속
2024-10-29,KPI_U04_QTY_G01,정제량,1050750.6112,정상,정상,2일 연속
2024-10-30,KPI_U04_QTY_G01,정제량,1049453.5573,정상,정상,2일 연속
2024-10-31,KPI_U04_QTY_G01,정제량,1025824.7394,정상,정상,2일 연속
2024-11-01,KPI_U04_QTY_G01,정제량,1045673.8497,정상,정상,2일 연속
2024-11-02,KPI_U04_QTY_G01,정제량,1064795.8407,정상,정상,2일 연속
2024-11-03,KPI_U04_QTY_G01,정제량,1041915.5705,정상,정상,2일 연속
2024-11-04,KPI_U04_QTY_G01,정제량,1043766.9326,정상,정상,2일 연속
2024-11-05,KPI_U04_QTY_G01,정제량,1049314.7554,정상,정상,2일 연속
2024-11-06,KPI_U04_QTY_G01,정제량,1054554.2465,정상,정상,2일 연속
2024-11-07,KPI_U04_QTY_G01,정제량,1079200.1303,정상,정상,2일 연속
2024-11-08,KPI_U04_QTY_G01,정제량,1073255.8602,정상,정상,2일 연속
2024-11-09,KPI_U04_QTY_G01,정제량,1036193.6832,정상,정상,2일 연속
2024-11-10,KPI_U04_QTY_G01,정제량,1039092.3623,정상,정상,2일 연속
2024-11-11,KPI_U04_QTY_G01,정제량,1051806.7931,정상,정상,2일 연속
2024-11-12,KPI_U04_QTY_G01,정제량,1056266.8311,정상,정상,2일 연속
